Feature,Cluster 3
genepc1,-0.4887498423725352
feobv,0.11704438847846639
raclopride,-0.23314511024956464
feobv,0.10078612963423475
az10419369,0.25690334486441224
cimbi36,0.25850307611329987
cumi101,0.14704314370306218
dasb,0.12565625590401358
sb207145,0.05200612397125165
mrb,-0.25256686537837
abp688,0.29993946975525926
flumazenil,0.16712440694699138
fpcit,0.12848623570801324
madam,0.2915147031622177
ucbj,0.02710092426661319
p943,0.310516852470339
gsk189254,0.4368670522255204
megalpha,-0.5219120967549988
megbeta,-0.058560775017578774
megdelta,0.5421967859211138
meggamma1,0.54023407650637
meggamma2,0.4798978204463161
megtheta,0.4050558294271431
megtimescale,0.5696041882385184
myelinmap,-0.4842431001760142
thickness,0.27307347373232393
methylreboxetine,-0.288598506478345
devexp,0.1423217492119061
evoexp,0.07759531942553406
flubatine,0.18610168600130314
fallypride,-0.11760862439053521
sch23390,0.3597413342078158
carfentanil,0.48901780628815683
fmpepd2,0.2168401718520289
fcgradient01,0.569672677091317
fcgradient02,0.030590284645973492
fcgradient03,0.03617142468036096
fcgradient04,0.2922712690370803
fcgradient05,0.16825096567468203
fcgradient06,0.10792669835236207
fcgradient07,0.2569834398356553
fcgradient08,-0.22114425623823714
fcgradient09,0.26630315294655094
fcgradient10,0.27724109057198754
intersubjvar,0.2361222709402115
lsn3172176,0.017455984759746565
cogpc1,-0.5697060925092559
flumazenil,0.17015628219601922
omar,0.3807271094518335
gsk215083,0.128602551971984
cbf,0.2984741654167063
cbv,-0.04491835671505844
cmr02,0.085331371297696
cmrglc,0.17376221391887653
scalinghcp,0.18273540149335932
scalingnih,-0.10891168794298305
scalingpnc,0.04683005022455189
abp688,0.35350604272835573
flb457,0.001109723478958075
fepe2i,-0.11586451812978911
meancbf,0.22736604300149033
altanserin,0.0663634026460924
dasb,0.21371289686018288
p943,0.15352611740251257
way100635,0.13149247546465279
abp688,0.17435221286309674
flb457,-0.0905851167601394
SAaxis,0.5817628089368325
feobv,0.058318449467639644
carfentanil,0.46440875391349656
ly2795050,0.1910322457039856
FChomology,-0.23390703279447844
evoexp,0.11266212221746198
