Feature,Cluster 2
genepc1,-0.3436580572150018
feobv,-0.15809869771826815
raclopride,-0.41119210813943824
feobv,0.0334882872403413
az10419369,0.004752369746033427
cimbi36,0.1158845514257698
cumi101,0.13246006092514767
dasb,0.18109429443360753
sb207145,0.05240439241477734
mrb,-0.37940878584502463
abp688,0.029734455994735988
flumazenil,0.21377653098613517
fpcit,0.12455135026769457
madam,0.18899496882055383
ucbj,0.056678540285733485
p943,0.11698921972082696
gsk189254,0.15210096116338445
megalpha,-0.3131885137109233
megbeta,-0.4029893720293169
megdelta,0.38989318497982123
meggamma1,0.30653945656544357
meggamma2,0.44695606309153696
megtheta,-0.00835542524974988
megtimescale,0.50153981553184
myelinmap,-0.31832700712082945
thickness,0.11182853089714019
methylreboxetine,-0.3945862393959237
devexp,-0.11829874913388203
evoexp,-0.17169772569375874
flubatine,-0.1093191735414399
fallypride,-0.06165477756731255
sch23390,0.3146428235529495
carfentanil,0.257731741661917
fmpepd2,-0.0446621473606787
fcgradient01,0.4542295256994076
fcgradient02,0.2704145072397869
fcgradient03,-0.1560079917880156
fcgradient04,0.2856233405136171
fcgradient05,0.015186765419898959
fcgradient06,0.1032542129459679
fcgradient07,0.1916812516872523
fcgradient08,-0.0021752781103475424
fcgradient09,-0.003947467096863604
fcgradient10,0.2751215932393139
intersubjvar,0.0047892345424851036
lsn3172176,0.06838241157996955
cogpc1,-0.6632729484767557
flumazenil,0.1421381542524319
omar,0.3284794955277116
gsk215083,-0.018441072295591596
cbf,-0.01541101563499255
cbv,-0.10237022319022354
cmr02,-0.006737073441506212
cmrglc,-0.019968346371425236
scalinghcp,0.0039659632750140995
scalingnih,-0.228155842559878
scalingpnc,-0.09070538520987748
abp688,0.14063486142826925
flb457,0.10629460195436136
fepe2i,-0.22111760031414204
meancbf,0.056174299783520586
altanserin,0.05843554965018121
dasb,0.21013431460867937
p943,-0.049564910169053046
way100635,0.13937916227162458
abp688,-0.13543590464978836
flb457,0.03066526021517849
SAaxis,0.3842047810595234
feobv,-0.07259405512476196
carfentanil,0.19712078634153896
ly2795050,-0.01251783069270717
FChomology,-0.03401880865363723
evoexp,-0.07780959468365364
